transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud,lr_prob,lr_pred,anomaly,risk_score,predicted_fraud
1,84.47,22,Electronics,0,0,66,3,40,0,0.0668080091294681,0,1,0.2406819951268755,0
2,541.82,3,Travel,1,0,87,1,64,0,0.5897893707301979,0,1,0.4882333970463066,0
3,237.01,17,Grocery,0,0,49,1,61,0,0.07145996988416024,0,1,0.1542412951283901,0
4,164.33,4,Grocery,0,1,72,3,34,0,0.6947090644923272,0,1,0.13056810102207386,0
5,30.53,15,Food,0,0,79,0,44,0,0.05199837137151446,0,1,0.24395755977043032,0
6,30.53,13,Clothing,0,0,90,2,46,0,0.1814793314024042,0,1,0.03112168835191871,0
7,10.77,18,Travel,0,0,48,1,28,0,0.04834717954234169,0,1,0.19427024671972212,0
8,362.02,13,Electronics,0,0,68,1,40,0,0.15492055834474136,0,1,0.17913812194669912,0
9,165.43,8,Grocery,0,0,80,0,21,0,0.1881247807460741,0,1,0.37212248183478874,0
10,221.63,5,Grocery,0,0,59,1,34,0,0.41810436901852194,0,1,0.11951795900232036,0
11,3.74,16,Grocery,0,0,58,2,28,0,0.10904697909353944,0,1,0.1444243298783901,0
12,630.64,18,Clothing,0,0,30,4,25,0,0.2997017562379814,0,-1,0.6466578861513026,0
13,321.56,11,Clothing,0,0,73,4,68,0,0.5442597710922928,0,1,0.4295863201993724,0
14,42.96,3,Travel,0,0,40,2,43,0,0.5949400390113637,0,1,0.07199580153453701,0
15,36.12,15,Electronics,0,0,37,2,69,0,0.1333935200793882,0,1,0.25379399849696915,0
16,36.47,10,Clothing,0,0,36,2,66,0,0.2825313128194431,0,1,0.1595686879957668,0
17,65.3,21,Food,0,0,35,1,25,0,0.02955604734564861,0,1,0.20914115692543286,0
18,133.91,3,Clothing,0,0,71,2,25,0,0.6149797985803499,0,1,0.16056787440685044,0
19,101.8,16,Grocery,1,0,84,3,24,0,0.18299787107755933,0,1,0.15616163068487177,0
20,61.96,7,Electronics,0,0,73,2,68,0,0.4151048497168502,0,1,0.2088508021733106,0
21,170.35,13,Travel,0,0,76,4,51,0,0.4135924891120688,0,1,0.18626871216895352,0
22,27.04,1,Clothing,0,0,85,1,49,0,0.558755946855897,0,1,0.17151624788560613,0
23,62.19,10,Grocery,0,0,64,2,30,0,0.28584029096887176,0,1,0.04709540751044211,0
24,82.13,10,Food,0,0,95,2,53,0,0.29094669292617653,0,1,0.04298924966404182,0
25,109.61,23,Food,0,0,99,2,35,0,0.03516981691507656,0,1,0.2598986717807262,0
26,276.83,21,Travel,1,0,77,3,30,0,0.09408942429592608,0,1,0.27843435310277953,0
27,40.09,23,Travel,0,0,85,1,47,0,0.020104505917089094,0,1,0.2773147410288821,0
28,129.97,5,Clothing,0,0,46,1,18,0,0.3957244027973221,0,1,0.3035947988608203,0
29,161.55,20,Travel,0,0,62,3,52,0,0.10126475926617719,0,1,0.16509531313246847,0
30,8.56,20,Grocery,0,0,85,1,20,0,0.03357719780546591,0,1,0.35012459665220996,0
31,168.36,13,Grocery,0,0,71,2,47,0,0.20222547255182047,0,1,0.021146263000304383,0
32,33.65,9,Grocery,0,0,51,2,65,0,0.3214816899507151,0,1,0.1335305550950562,0
33,12.11,7,Clothing,0,0,42,3,42,0,0.5281432485322695,0,1,0.12220274581747947,0
34,535.26,6,Clothing,0,0,44,7,50,0,0.9453583181832615,1,-1,0.7784063348457365,1
35,606.71,7,Travel,0,0,66,5,33,0,0.8465253173471182,1,-1,0.6480378548772692,0
36,297.42,7,Clothing,0,0,65,2,66,0,0.47127542503108394,0,1,0.23759816728632197,0
37,65.39,22,Grocery,0,0,96,1,20,0,0.02458975434922215,0,1,0.3353171534524816,0
38,18.5,1,Electronics,0,0,82,2,64,0,0.6773577266497388,0,1,0.2700117025732631,0
39,207.5,15,Grocery,0,0,64,1,46,0,0.09789621400803897,0,1,0.07484567853877921,0
40,104.42,8,Electronics,0,0,99,1,31,0,0.2672160748980151,0,1,0.0680968630048488,0
41,23.43,12,Travel,0,0,54,1,60,0,0.1379846778793607,0,1,0.13908797603644898,0
42,123.04,22,Food,0,1,36,3,62,0,0.06952051315201899,0,1,0.3069422913956699,0
43,6.3,11,Clothing,0,0,86,3,22,0,0.34309234422272006,0,1,0.24906102548561548,0
44,432.08,21,Clothing,0,1,86,0,61,0,0.025648754240888576,0,1,0.5303715819253536,0
45,53.9,16,Grocery,0,0,94,2,34,0,0.1140100076317217,0,1,0.04146541954662723,0
46,195.53,1,Grocery,0,0,39,3,46,0,0.805215272062894,1,1,0.20757584187669115,0
47,67.24,12,Electronics,0,0,31,3,38,0,0.3154999903800572,0,1,0.07134082581025258,0
48,132.14,0,Clothing,0,0,30,2,23,0,0.7369023300834086,0,1,0.3136133729144606,0
49,142.42,18,Travel,0,1,51,2,41,0,0.08796238929026022,0,1,0.0744548435330313,0
50,36.79,10,Grocery,0,0,26,1,66,0,0.19126104743618058,0,1,0.1787761787825123,0
51,628.71,4,Clothing,0,0,30,4,45,0,0.8563699182072705,1,1,0.5516821678157977,0
52,268.6,0,Food,0,0,85,1,34,0,0.6580729989319121,0,1,0.3158146692345039,0
53,504.92,19,Electronics,0,0,56,1,59,0,0.0641027566333324,0,1,0.3688642920454599,0
54,405.39,12,Grocery,0,0,53,0,39,0,0.12164332077200717,0,1,0.37409117938270703,0
55,163.99,7,Grocery,0,0,89,2,41,0,0.4377110252557845,0,1,0.05546044518175677,0
56,458.9,5,Travel,0,0,39,1,57,0,0.47629232259802046,0,1,0.3395930683994655,0
57,16.68,16,Grocery,0,0,34,1,35,0,0.06936509798671846,0,1,0.12710062027710067,0
58,39.26,11,Clothing,1,1,34,3,45,1,0.35159541070584016,0,1,0.071429849565916,0
59,8.33,0,Clothing,0,0,34,2,27,0,0.713167581319985,0,1,0.35419858611861965,0
60,70.84,2,Clothing,0,0,61,4,18,0,0.833938055343815,1,1,0.4545968197408877,0
61,88.58,13,Food,0,0,56,0,54,0,0.07809299361670825,0,1,0.20789693678049273,0
62,56.98,7,Food,1,0,60,2,43,0,0.41247153672476977,0,1,0.031270168487062634,0
63,317.62,10,Grocery,0,0,88,1,67,0,0.23699317387773086,0,1,0.3084795982732651,0
64,79.42,13,Food,0,0,39,3,43,0,0.27899400662761176,0,1,0.057803564503558676,0
